        Mean:           30.750961127723198 
      Variance:         209.5138019382581
      Skewness:         -0.19839498268060077
      Kurtosis:         1.8958337364720155
Total Number Of Words:  2341
============================================================
#Character | No. of Repetition | Probability of Occurrence
============================================================
    [e]    |        287        | 0.12259718069201196
    [t]    |        200        | 0.08543357539513029
    [o]    |        195        | 0.08329773601025203
    [a]    |        173        | 0.0739000427167877
    [n]    |        153        | 0.06535668517727466
    [r]    |        152        | 0.06492951730029901
    [s]    |        148        | 0.06322084579239641
    [h]    |        127        | 0.05425032037590773
    [i]    |        118        | 0.05040580948312687
    [p]    |        92        | 0.03929944468175993
    [m]    |        72        | 0.030756087142246903
    [l]    |        68        | 0.029047415634344296
    [u]    |        61        | 0.026057240495514736
    [d]    |        52        | 0.022212729602733874
    [g]    |        42        | 0.01794105083297736
    [c]    |        42        | 0.01794105083297736
    [f]    |        35        | 0.0149508756941478
    [b]    |        35        | 0.0149508756941478
    [y]    |        31        | 0.013242204186245195
    [v]    |        24        | 0.010252029047415635
    [0]    |        24        | 0.010252029047415635
    [w]    |        21        | 0.00897052541648868
    [2]    |        20        | 0.00854335753951303
    [1]    |        15        | 0.006407518154634771
    [k]    |        14        | 0.00598035027765912
    [U]    |        14        | 0.00598035027765912
    [7]    |        12        | 0.0051260145237078175
    [T]    |        10        | 0.004271678769756515
    [S]    |        10        | 0.004271678769756515
    [5]    |        10        | 0.004271678769756515
    [K]    |        9        | 0.003844510892780863
    [A]    |        8        | 0.0034173430158052115
    [8]    |        8        | 0.0034173430158052115
    [4]    |        8        | 0.0034173430158052115
    [9]    |        7        | 0.00299017513882956
    [3]    |        6        | 0.0025630072618539087
    [F]    |        4        | 0.0017086715079026058
    [6]    |        4        | 0.0017086715079026058
    [x]    |        3        | 0.0012815036309269544
    [q]    |        3        | 0.0012815036309269544
    [P]    |        3        | 0.0012815036309269544
    [E]    |        3        | 0.0012815036309269544
    [O]    |        2        | 0.0008543357539513029
    [M]    |        2        | 0.0008543357539513029
    [I]    |        2        | 0.0008543357539513029
    [H]    |        2        | 0.0008543357539513029
    [D]    |        2        | 0.0008543357539513029
    [j]    |        1        | 0.00042716787697565144
    [Z]    |        1        | 0.00042716787697565144
    [R]    |        1        | 0.00042716787697565144
    [N]    |        1        | 0.00042716787697565144
    [L]    |        1        | 0.00042716787697565144
    [J]    |        1        | 0.00042716787697565144
    [G]    |        1        | 0.00042716787697565144
    [B]    |        1        | 0.00042716787697565144
    [z]    |        0        | 0.0
    [Y]    |        0        | 0.0
    [X]    |        0        | 0.0
    [W]    |        0        | 0.0
    [V]    |        0        | 0.0
    [Q]    |        0        | 0.0
    [C]    |        0        | 0.0
